date,type,price,shares,cost,cash,equity,return
2020-03-16 00:00:00+08:00,BUY,22.807338081359863,87000,3680.762256260262,8012080.824665432,10000000.0,
2020-04-14 00:00:00+08:00,SELL,25.485721143722532,87000,10764.786325291243,10218573.777844,10231558.041386012,0.11743514533823117
2020-05-18 00:00:00+08:00,BUY,23.929008787155148,85000,3773.006460514688,8180835.024475299,10218573.777844,
2020-06-18 00:00:00+08:00,SELL,24.440918146133424,85000,10086.15589595561,10248226.911000684,10260392.624496661,0.02139283593113408
2020-08-20 00:00:00+08:00,BUY,24.669616819381712,83000,3798.257553596105,8196850.457438406,10248226.911000684,
2020-11-13 00:00:00+08:00,SELL,25.168318450927735,83000,10141.951444578095,10275678.93742083,10287911.950358327,0.020215215955612962
2021-05-17 00:00:00+08:00,BUY,30.944883008956907,66000,3788.582026786594,8229528.076802888,10275678.93742083,
2021-07-19 00:00:00+08:00,SELL,35.619237075805664,66000,11413.47213620041,10568984.251669861,10582750.946675934,0.15105418448328853
2021-09-27 00:00:00+08:00,BUY,34.47745143127441,61000,3901.2960167058563,8461958.418345416,10568984.251669861,
2021-10-12 00:00:00+08:00,SELL,30.967708110809326,61000,9171.241595556736,10341817.371509228,10352879.53422066,-0.10179822390472297
2021-10-14 00:00:00+08:00,BUY,30.372992109298703,68000,3831.249224666938,8272622.658852249,10341817.371509228,
2021-11-03 00:00:00+08:00,SELL,33.09776281356812,68000,10926.895415271378,10512343.63475961,10525523.430946976,0.0897103154823928
2022-06-23 00:00:00+08:00,BUY,34.47745143127441,60000,3837.340344300842,8439859.208538845,10512343.63475961,
2022-07-04 00:00:00+08:00,SELL,30.558080154418946,60000,8901.56874898224,10264442.449055,10275179.337933376,-0.11367926323290278
2022-07-06 00:00:00+08:00,BUY,29.470011402130122,69000,3772.014109415645,8227239.648198605,10264442.449055,
2022-07-22 00:00:00+08:00,SELL,34.23469008636474,69000,11468.450005481758,10577964.81415229,10591797.822331905,0.1616788883865252
2022-09-23 00:00:00+08:00,BUY,30.09288516426086,70000,3907.5611385792727,8467555.29151545,10577964.81415229,
2022-09-28 00:00:00+08:00,SELL,27.511599655151368,70000,9349.817142803191,10384017.450233243,10395295.007091623,-0.08577726911260398
2022-10-03 00:00:00+08:00,BUY,27.079162782669066,76000,3817.620369100685,8322183.458381293,10384017.450233243,
2022-11-10 00:00:00+08:00,SELL,30.032759519577027,76000,11081.48760753353,10593591.694261614,10606957.956367133,0.10907267557024669
2023-04-18 00:00:00+08:00,BUY,40.77386454010009,51000,3857.411454816169,8510267.191261694,10593591.694261614,
2023-05-26 00:00:00+08:00,SELL,45.203949714660645,51000,11192.723969098548,10804475.902740289,10817976.335853979,0.1086501175330995
2024-01-11 00:00:00+08:00,BUY,73.26067986297606,29000,3941.0582732287967,8675975.128440754,10804475.902740289,
2024-01-16 00:00:00+08:00,SELL,73.67672254943848,29000,10373.31415134819,10802226.768223122,10814738.846092122,0.005678935647888726
2024-04-16 00:00:00+08:00,BUY,93.64217839050292,23000,3995.2435410308076,8644461.421700524,10802226.768223122,
2024-05-06 00:00:00+08:00,SELL,81.55056994628906,23000,9106.34439305237,10511018.18607212,10522002.071114587,-0.12912566379852797
2024-05-08 00:00:00+08:00,BUY,82.27737798309326,25000,3815.61340396595,8450268.123090822,10511018.18607212,
2024-06-18 00:00:00+08:00,SELL,97.95443012237548,25000,11889.218956103325,10887239.657194106,10901580.188215334,0.1905390342227923
2024-07-30 00:00:00+08:00,BUY,102.58361363983153,21000,3996.1446693396365,8728987.626088304,10887239.657194106,
2024-08-05 00:00:00+08:00,SELL,90.07398989868165,21000,9183.493640120087,10611357.9203205,10622434.861195726,-0.12194563339395367
2024-09-05 00:00:00+08:00,BUY,107.8813636779785,19000,3802.278662830352,8557809.731776077,10611357.9203205,
2024-10-14 00:00:00+08:00,SELL,123.04664524841309,19000,11350.437790939864,10884345.553704986,10898036.217982132,0.14057369181671023
2024-12-12 00:00:00+08:00,BUY,111.73426515960692,19000,3938.074175550346,8757456.441496905,10884345.553704986,
