date,type,price,shares,cost,cash,equity,return
2020-02-12 00:00:00+08:00,BUY,229.56487631225585,8000,3406.7427644738773,8160074.246737479,10000000.0,
2020-02-27 00:00:00+08:00,SELL,206.10358085632325,8000,8005.063080459595,9800897.830507606,9810553.372714043,-0.10219897674599128
2020-03-11 00:00:00+08:00,BUY,197.29672425842284,9000,3293.8688114943698,8021933.443370306,9800897.830507606,
2020-03-12 00:00:00+08:00,SELL,178.50041331481933,9000,7799.57555979103,9620637.58764389,9630045.275035344,-0.095269249979963
2020-03-13 00:00:00+08:00,BUY,171.48217817687987,11000,3499.0938456992335,7730834.533852512,9620637.58764389,
2020-03-19 00:00:00+08:00,SELL,147.2168325805664,11000,7862.114943965149,9342357.577294778,9351840.698403293,-0.1415036002824989
2020-03-23 00:00:00+08:00,BUY,143.82379486083983,12000,3201.5176736022945,7613270.521291098,9342357.577294778,
2020-03-26 00:00:00+08:00,SELL,167.9192387237549,12000,9782.97484804596,9618518.411128111,9630318.433888754,0.16753447429355614
2020-11-02 00:00:00+08:00,BUY,238.41311695861813,8000,3538.050655665893,7707675.4248035,9618518.411128111,
2020-11-09 00:00:00+08:00,SELL,275.0849912109375,8000,10684.301058632813,9897671.053432368,9910558.2373035,0.15381651278308064
2020-11-10 00:00:00+08:00,BUY,273.27990386962887,7000,3548.5395517471306,7981163.186793218,9897671.053432368,
2020-11-13 00:00:00+08:00,SELL,302.82861264038087,7000,10291.630400583344,10090671.844875302,10103085.397486579,0.10812616790456912
2021-05-11 00:00:00+08:00,BUY,313.80066979980467,6000,3492.601454871826,8204375.224621602,10090671.844875302,
2021-05-17 00:00:00+08:00,SELL,286.3705693359375,6000,8341.97468475586,9914256.665952472,9924318.583996601,-0.08741249813573296
2021-08-04 00:00:00+08:00,BUY,367.5825779113769,5000,3409.3284101280206,8072934.447985459,9914256.665952472,
2021-08-26 00:00:00+08:00,SELL,403.1036644592285,5000,9785.341454747771,10078667.428826854,10090470.306139756,0.09663430391528414
2022-01-06 00:00:00+08:00,BUY,521.0208665771484,3000,2899.48112250183,8512705.347972907,10078667.428826854,
2022-01-13 00:00:00+08:00,SELL,475.1375765075684,3000,6920.378801832733,9931197.69869378,9939544.917064704,-0.08806420819766911
2022-01-19 00:00:00+08:00,BUY,481.8247577209472,4000,3575.139702289428,8000323.528107702,9931197.69869378,
2022-02-07 00:00:00+08:00,SELL,420.2773000488281,4000,8161.7851669482425,9673270.943136066,9683115.520295203,-0.12773826310470499
2022-04-15 00:00:00+08:00,BUY,437.3707106323242,4000,3245.290672891845,7920542.809933878,9673270.943136066,
2022-04-25 00:00:00+08:00,SELL,387.36112197875974,4000,7522.552988827514,9462464.744860088,9471538.293332316,-0.11434142121968704
2022-04-27 00:00:00+08:00,BUY,367.10462240600583,5000,3404.895372815704,7623536.737457244,9462464.744860088,
2022-05-04 00:00:00+08:00,SELL,426.4788864440918,5000,10352.774968430329,9745578.394709272,9758065.698638884,0.16173662878159015
2022-06-30 00:00:00+08:00,BUY,465.59498214721674,4000,3454.714767532348,7879743.751352873,9745578.394709272,
2022-07-01 00:00:00+08:00,SELL,424.091109375,4000,8235.8493440625,9567872.339508811,9577806.251352873,-0.0891415809096792
2022-10-13 00:00:00+08:00,BUY,430.26397109985345,4000,3192.5586655609122,7843623.896443836,9567872.339508811,
2022-10-21 00:00:00+08:00,SELL,384.96651580810544,4000,7476.049736993408,9376013.909939265,9385031.367146961,-0.10527829038521938
2022-10-24 00:00:00+08:00,BUY,386.22122357177733,4000,2865.7614789025874,7828263.254173253,9376013.909939265,
2022-10-28 00:00:00+08:00,SELL,454.5212810668945,4000,8826.803278319092,9637521.575162511,9648168.283470128,0.17684180290113952
2022-12-29 00:00:00+08:00,BUY,629.1823868408203,3000,3501.399982769165,7746473.014657281,9637521.575162511,
2023-01-30 00:00:00+08:00,SELL,748.6801358642579,3000,10904.526178862914,9981608.896071192,9994761.710946344,0.18992545170160627
2023-08-02 00:00:00+08:00,BUY,1372.5201968994138,1000,2546.0249652484126,8606542.674206529,9981608.896071192,
2023-08-10 00:00:00+08:00,SELL,1218.663539428711,1000,5916.611483926392,9819289.602151314,9826426.097058091,-0.1120979187178973
2023-08-14 00:00:00+08:00,BUY,1235.7566168212888,1000,2292.328524203491,8581240.65680582,9819289.602151314,
2023-08-23 00:00:00+08:00,SELL,1428.273543823242,1000,6934.26805526184,10002579.9325738,10010943.903876133,0.1557887082143736
2024-01-03 00:00:00+08:00,BUY,1602.0875476074218,1000,2971.8724008117674,8397520.512565568,10002579.9325738,
2024-01-30 00:00:00+08:00,SELL,1525.7666513671875,1000,7407.597092387695,9915879.566840367,9924814.457878068,-0.04763840550050648
2024-02-01 00:00:00+08:00,BUY,1509.2836547851562,1000,2799.7211796264646,8403796.190875584,9915879.566840367,
2024-03-13 00:00:00+08:00,SELL,1296.6579766845703,1000,6295.274476803588,9694158.89308335,9701752.123492772,-0.1408785402442146
2024-03-20 00:00:00+08:00,BUY,1265.0629935302734,1000,2346.691852998657,8426749.20770008,9694158.89308335,
2024-04-15 00:00:00+08:00,SELL,1130.9197060546876,1000,5490.615172895508,9552178.298581872,9558800.96551258,-0.10603684414263573
2024-07-23 00:00:00+08:00,BUY,1410.5140854492186,1000,2616.5036285083006,8139047.709504145,9552178.298581872,
2024-07-29 00:00:00+08:00,SELL,1186.2053074951173,1000,5759.026767888794,9319493.990231374,9326440.409699459,-0.1590262587719312
2024-07-30 00:00:00+08:00,BUY,1080.079,1000,2003.546545,8237411.443686374,9319493.990231374,
2024-08-05 00:00:00+08:00,SELL,939.1201814575195,1000,4559.428480976258,9171972.196662918,9177471.685385592,-0.13050787816676415
2024-08-07 00:00:00+08:00,BUY,1001.1691142578123,1000,1857.168706948242,8168945.913698157,9171972.196662918,
2024-08-19 00:00:00+08:00,SELL,1161.5951766357423,1000,5639.544582566528,9324901.545751333,9331703.84826847,0.16023872499987893
2024-09-04 00:00:00+08:00,BUY,973.5506420288085,1000,1805.9364409634397,8349544.967281561,9324901.545751333,
2024-09-25 00:00:00+08:00,SELL,1151.7511486816406,1000,5591.751826849366,9495704.364136353,9502449.020015936,0.18304184596034498
