date,type,price,shares,cost,cash,equity,return
2020-03-09 00:00:00+08:00,BUY,37.282675422668454,53000,3665.446234179649,8020352.756364392,10000000.0,
2020-03-13 00:00:00+08:00,SELL,33.42052932357788,53000,8599.603502896442,9783041.207011124,9793413.871629285,-0.10359090530134883
2020-03-16 00:00:00+08:00,BUY,32.55722868347168,60000,3623.619552470398,7825983.866450353,9783041.207011124,
2020-03-18 00:00:00+08:00,SELL,29.707136753082274,60000,8653.688936172866,9599758.382699117,9610196.284052892,-0.08754098692178641
2020-03-23 00:00:00+08:00,BUY,28.46431845092773,67000,3537.687818673553,7689111.358668285,9599758.382699117,
2020-03-26 00:00:00+08:00,SELL,32.826386054992675,67000,10677.930987898293,9877801.293364897,9890680.793787915,0.15324686630333745
2020-11-03 00:00:00+08:00,BUY,54.9216842918396,35000,3565.7903526476857,7951976.552797863,9877801.293364897,
2020-11-20 00:00:00+08:00,SELL,60.85964218139648,35000,10341.574697673797,10071722.454449067,10084196.248842785,0.1081168206350722
2021-07-14 00:00:00+08:00,BUY,76.4853826675415,26000,3688.890006055527,8079413.615086932,10071722.454449067,
2021-08-18 00:00:00+08:00,SELL,69.20392016601562,26000,8735.610842556152,9869979.928560782,9880516.642430682,-0.09520070695306794
2021-08-23 00:00:00+08:00,BUY,66.77421941375732,29000,3592.119133363075,7929935.446428457,9869979.928560782,
2021-10-08 00:00:00+08:00,SELL,80.4976078491211,29000,11333.660697117004,10253032.413355852,10266702.841447989,0.20551926410893212
2021-10-14 00:00:00+08:00,BUY,83.8690635986328,24000,3733.8507114111326,8236441.036277253,10253032.413355852,
2021-10-18 00:00:00+08:00,SELL,85.70392890930175,24000,9986.22179651184,10283349.108303983,10295394.283347566,0.021877736938258324
2022-01-12 00:00:00+08:00,BUY,113.9656278991699,18000,3805.312315553283,8228162.493803371,10283349.108303983,
2022-03-14 00:00:00+08:00,SELL,104.52675441741944,18000,9134.593068538285,10100509.480248382,10111527.438261379,-0.08282210746999458
2022-04-08 00:00:00+08:00,BUY,98.31541843414306,20000,3647.502023906707,8130553.609541615,10100509.480248382,
2022-04-15 00:00:00+08:00,SELL,90.10927104949951,20000,8749.610218906402,9923989.420312699,9934543.019942004,-0.08346755285530785
2022-04-18 00:00:00+08:00,BUY,89.08580008697508,22000,3635.5915015494534,7960466.226897698,9923989.420312699,
2022-06-15 00:00:00+08:00,SELL,80.09712220001221,22000,8555.173622183303,9714047.741675783,9724366.815886956,-0.100899109377557
2022-06-20 00:00:00+08:00,BUY,75.36177788543701,25000,3494.9024494371415,7826508.39209042,9714047.741675783,
2022-07-01 00:00:00+08:00,SELL,65.27916080474853,25000,7923.258142676352,9450564.154066456,9460121.024841886,-0.13378953315055556
2022-07-04 00:00:00+08:00,BUY,66.93474965667724,28000,3476.5908971678155,7572914.5727823265,9450564.154066456,
2022-07-20 00:00:00+08:00,SELL,77.53401404571534,28000,10539.973869374542,9733326.992192982,9746040.091581155,0.1583521928953796
2022-09-13 00:00:00+08:00,BUY,85.70130019378661,22000,3497.4700609084316,7844400.917868768,9733326.992192982,
2022-10-07 00:00:00+08:00,SELL,78.07265943145752,22000,8338.940753873978,9553660.484606959,9563718.74318615,-0.08901429435818717
2022-10-11 00:00:00+08:00,BUY,76.47618769073486,24000,3404.719875991516,7714827.260153331,9553660.484606959,
2022-11-03 00:00:00+08:00,SELL,87.5555376663208,24000,10201.9712488797,9805958.19289615,9818263.600485362,0.14487319922889164
2023-09-11 00:00:00+08:00,BUY,263.33921749877925,7000,3419.4597392216488,7959164.210665474,9805958.19289615,
2023-09-19 00:00:00+08:00,SELL,238.36532368469238,7000,8100.845525424271,9619620.630932895,9629391.703951607,-0.09483545235415851
2023-10-20 00:00:00+08:00,BUY,227.5363911132812,8000,3376.6400441210935,7795952.861982524,9619620.630932895,
2023-10-31 00:00:00+08:00,SELL,204.51464099121094,8000,7943.348656098633,9424126.641256113,9433707.744795024,-0.10117832145192401
2023-11-01 00:00:00+08:00,BUY,208.22170082092282,9000,3476.261295205307,7546655.072572602,9424126.641256113,
2023-11-21 00:00:00+08:00,SELL,229.43250823974608,9000,10025.053447535705,9601522.593282782,9613614.606264008,0.10186645933252281
2024-03-20 00:00:00+08:00,BUY,277.9430095825195,6000,3093.505696653442,7930771.030091011,9601522.593282782,
2024-04-08 00:00:00+08:00,SELL,319.70103607177737,6000,9312.891180770876,9839664.355340904,9850897.372864448,0.15023952770742444
2024-07-19 00:00:00+08:00,BUY,261.454858215332,7000,3394.9913339260866,8006085.356499653,9839664.355340904,
2024-08-05 00:00:00+08:00,SELL,222.60017504882813,7000,7565.066949034424,9556721.514892416,9565846.342827778,-0.14860952835882477
2024-08-07 00:00:00+08:00,BUY,226.42531105041502,8000,3360.1516159881585,7741958.874873107,9556721.514892416,
2024-08-26 00:00:00+08:00,SELL,257.29112686157225,8000,9993.187367303468,9790294.702398382,9802348.279169982,0.1363178686515518
2024-11-27 00:00:00+08:00,BUY,262.1512631530761,7000,3404.034152042693,7951831.826174807,9790294.702398382,
