date,type,price,shares,cost,cash,equity,return
2020-02-07 00:00:00+08:00,BUY,13.90836277580261,143000,3689.40185172328,8007414.7212085035,10000000.0,
2020-03-03 00:00:00+08:00,SELL,16.549912250518798,143000,11490.024828606434,10362562.148204084,10376421.179490974,0.18992526419514189
2020-06-15 00:00:00+08:00,BUY,30.29688534736633,68000,3821.6491177167886,8298552.295465457,10362562.148204084,
2020-07-13 00:00:00+08:00,SELL,35.42943225860596,68000,11696.67276585617,10696057.016284807,10710165.302057255,0.16940840130570686
2020-09-10 00:00:00+08:00,BUY,48.338848419189446,44000,3945.416807974242,8565202.269032497,10696057.016284807,
2020-09-25 00:00:00+08:00,SELL,42.660921100616456,44000,9113.225965513688,10433169.571494108,10444161.756947536,-0.11746095540660377
2020-09-28 00:00:00+08:00,BUY,43.28126369094848,48000,3853.763719042052,8351815.150609539,10433169.571494108,
2020-10-20 00:00:00+08:00,SELL,49.69827596282959,48000,11581.686230377809,10725750.710594982,10739720.301976725,0.14826305252318958
2021-05-12 00:00:00+08:00,BUY,40.703840667724606,52000,3926.2924708087157,8605224.703402493,10725750.710594982,
2021-05-17 00:00:00+08:00,SELL,46.8347978553772,52000,11823.913066568528,11028810.27881554,11043072.039217923,0.15062355510137462
2021-08-11 00:00:00+08:00,BUY,66.2361528930664,33000,4054.64609934906,8838962.587244999,11028810.27881554,
2021-08-17 00:00:00+08:00,SELL,57.877996227264404,33000,9272.923165551167,10739663.539579174,10750848.348505985,-0.12618723009616295
2021-11-04 00:00:00+08:00,BUY,70.00973624420165,30000,3896.041821989822,8635475.410431135,10739663.539579174,
2021-11-15 00:00:00+08:00,SELL,76.41084786987305,30000,11129.239992247009,10916671.60653508,10930095.46658348,0.09143173462821834
2022-03-16 00:00:00+08:00,BUY,72.19442149353027,30000,4017.61955611496,8746821.342173059,10916671.60653508,
2022-03-23 00:00:00+08:00,SELL,83.24917938995361,30000,12125.242978146744,11232171.48089352,11246796.699228723,0.15312482138822894
2022-07-04 00:00:00+08:00,BUY,69.16170583343505,32000,4105.438858272704,9014891.455365326,11232171.48089352,
2022-07-15 00:00:00+08:00,SELL,79.50939264678955,32000,12352.579241605225,11546839.440820986,11561738.867474701,0.1496158414350747
2022-10-24 00:00:00+08:00,BUY,74.3067459411621,31000,4273.009425346527,9239057.307219613,11546839.440820986,
2022-11-09 00:00:00+08:00,SELL,85.28202610015869,31000,12835.371338204382,11869964.74498633,11885446.505522836,0.14770233873095556
2022-12-21 00:00:00+08:00,BUY,83.78086360931395,28000,4351.578055867766,9519748.98586967,11869964.74498633,
2023-03-07 00:00:00+08:00,SELL,86.20900804138184,28000,11719.252553145447,11921881.958475217,11936017.479522014,0.02898208883821942
2023-03-22 00:00:00+08:00,BUY,88.6108077468872,26000,4273.69925763237,9613727.257798517,11921881.958475217,
2023-03-30 00:00:00+08:00,SELL,90.65851068878173,26000,11443.82380424492,11959404.711902598,11973208.01646551,0.0231089524400195
2023-10-23 00:00:00+08:00,BUY,185.12185708618162,12000,4120.8125387384025,9733821.61432968,11959404.711902598,
2023-10-31 00:00:00+08:00,SELL,168.9161046295166,12000,9841.052255715638,11750973.817628164,11762843.892161712,-0.0875409998135476
2023-11-01 00:00:00+08:00,BUY,170.21595960998533,13000,4104.757865994796,9534061.58483236,11750973.817628164,
2023-11-08 00:00:00+08:00,SELL,200.5878771057129,13000,12660.103863527069,12129043.8833431,12144314.239861656,0.17843166742600708
2024-01-22 00:00:00+08:00,BUY,213.4911862335205,11000,4356.287655094986,9776284.54711928,12129043.8833431,
2024-02-15 00:00:00+08:00,SELL,262.0119262390137,11000,13992.746920794525,12644422.988827636,12661300.751953265,0.22727280156858717
2024-04-15 00:00:00+08:00,BUY,204.35530471801755,12000,4548.94908302307,10187610.383128403,12644422.988827636,
2024-04-22 00:00:00+08:00,SELL,174.67460733032226,12000,10176.542623064575,12273529.128469206,12285803.864573715,-0.1452406504869086
2024-04-25 00:00:00+08:00,BUY,179.83266815185544,13000,4336.664792481994,9931367.777702603,12273529.128469206,
2024-07-02 00:00:00+08:00,SELL,208.53800312805177,13000,13161.876067426987,12629199.94229985,12645075.52611569,0.15962247166325078
2024-11-11 00:00:00+08:00,BUY,176.16856153869628,14000,4575.097543159943,10158264.983214943,12629199.94229985,
2024-12-09 00:00:00+08:00,SELL,199.25879370117187,14000,13543.620207868653,12934344.47482348,12950680.510558693,0.1310689714487094
