date,type,price,shares,cost,cash,equity,return
2020-02-07 00:00:00+08:00,BUY,42.20583707427978,47000,3679.715905321082,8012645.941603529,10000000.0,
2020-03-09 00:00:00+08:00,SELL,38.23543082427979,47000,8724.751782638285,9800986.438562041,9811510.054457534,-0.09407244412691801
2020-03-11 00:00:00+08:00,BUY,37.909163406372066,51000,3586.3964040598294,7864032.708433006,9800986.438562041,
2020-03-12 00:00:00+08:00,SELL,34.26001340103149,51000,8482.950618162404,9602810.44126745,9613042.401578758,-0.09626036761146767
2020-03-16 00:00:00+08:00,BUY,29.271066928863522,65000,3529.358894947719,7696661.731996372,9602810.44126745,
2020-03-19 00:00:00+08:00,SELL,26.041183954238893,65000,8217.946626358938,9381120.74239554,9391033.060350254,-0.11034387583049517
2020-03-23 00:00:00+08:00,BUY,28.778738544464108,65000,3469.99639999876,7507032.740605375,9381120.74239554,
2020-04-06 00:00:00+08:00,SELL,33.45600101852417,65000,10557.877521420765,9671114.929288026,9683849.623692533,0.16252493023047326
2020-06-03 00:00:00+08:00,BUY,40.326033275604246,47000,3515.8252111335564,7772275.5401234925,9671114.929288026,
2020-06-15 00:00:00+08:00,SELL,37.02940462875366,47000,8449.554695212155,9504208.002979703,9514399.681816608,-0.08174939063111183
2020-06-19 00:00:00+08:00,BUY,36.700726562499995,51000,3472.0722364453122,7628998.876055758,9504208.002979703,
2020-07-01 00:00:00+08:00,SELL,42.65751417160034,51000,10562.213796459102,9793969.885010917,9806709.809741061,0.16230707582739962
2020-07-28 00:00:00+08:00,BUY,42.325192302703854,46000,3611.6086591897197,7843399.43042735,9793969.885010917,
2020-08-20 00:00:00+08:00,SELL,38.76628295516968,46000,8657.673972378045,9617990.772392778,9628433.480415143,-0.08408489492691147
2021-08-13 00:00:00+08:00,BUY,85.0719101409912,22000,3471.784652853851,7742936.964638118,9617990.772392778,
2021-09-01 00:00:00+08:00,SELL,100.48112148284912,22000,10732.388585583114,9942789.248675216,9955734.434730891,0.1811316016805071
2021-12-07 00:00:00+08:00,BUY,163.49325546264646,12000,3639.35986659851,7977230.82325686,9942789.248675216,
2021-12-16 00:00:00+08:00,SELL,200.5013243408203,12000,11681.207156096192,10371565.508190608,10385655.13966311,0.22635838263450037
2022-01-11 00:00:00+08:00,BUY,183.81444441223144,11000,3750.7337382315827,8345855.88591783,10371565.508190608,
2022-02-09 00:00:00+08:00,SELL,218.0163692779541,11000,11643.164201289139,10732392.783774037,10746436.528618027,0.18606766717973333
2022-04-25 00:00:00+08:00,BUY,229.53712336730953,9000,3832.122274617233,8662726.551193634,10732392.783774037,
2022-06-02 00:00:00+08:00,SELL,208.3370019378662,9000,9103.285299675064,10528656.283334754,10539636.478561798,-0.09236031679075503
2022-06-08 00:00:00+08:00,BUY,205.52117279052732,10000,3812.4177552642814,8469632.137674216,10528656.283334754,
2022-06-20 00:00:00+08:00,SELL,185.7517911529541,10000,9018.249460475921,10318131.799743282,10329009.426492576,-0.09619145983427557
2022-06-22 00:00:00+08:00,BUY,172.2683028717041,11000,3515.134720097122,8419665.33343444,10318131.799743282,
2022-07-06 00:00:00+08:00,SELL,147.95614379882812,11000,7901.597859576416,10039281.317361973,10048812.061950065,-0.14112961390803463
2022-07-13 00:00:00+08:00,BUY,135.32067132568358,14000,3514.2778343280024,8141277.640968075,10039281.317361973,
2022-07-21 00:00:00+08:00,SELL,168.79177839660645,14000,11472.77717761734,10492889.761342948,10506727.988868466,0.247346593414144
2022-09-15 00:00:00+08:00,BUY,152.12224615478513,13000,3668.427966022644,8511632.133364718,10492889.761342948,
2022-09-23 00:00:00+08:00,SELL,137.20224476623534,13000,8659.519678420944,10286601.795647357,10297046.729922336,-0.09807902371733729
2022-09-26 00:00:00+08:00,BUY,128.5007784118652,16000,3813.9031032641597,8226775.437954249,10286601.795647357,
2022-10-12 00:00:00+08:00,SELL,115.04243518066406,16000,8936.496364833984,10058517.90448004,10069296.922329249,-0.10473355412731468
2022-12-26 00:00:00+08:00,BUY,143.61849638366698,14000,3729.7723510838314,8044129.182757619,10058517.90448004,
