date,type,price,shares,cost,cash,equity,return
2020-02-27 00:00:00+08:00,BUY,136.7259295501709,14000,3550.7723904179375,8082286.21390719,10000000.0,
2020-03-16 00:00:00+08:00,SELL,122.54251883697509,14000,8329.215005349197,9789552.262619492,9799598.790201135,-0.10373607083791131
2020-03-18 00:00:00+08:00,BUY,123.4515447692871,15000,3435.0392332054134,7934344.05184698,9789552.262619492,
2020-03-23 00:00:00+08:00,SELL,112.93782955169678,15000,8224.697437102317,9620186.797685329,9630107.258328915,-0.08516471168699359
2021-08-02 00:00:00+08:00,BUY,242.81318829345702,7000,3152.9292499905396,7917341.550381139,9620186.797685329,
2021-09-24 00:00:00+08:00,SELL,255.6011071472168,7000,8686.603626398162,9697862.696785258,9708340.299160436,0.05266566838331972
2021-10-12 00:00:00+08:00,BUY,256.87276605224605,7000,3335.4928671884154,7896417.841552347,9697862.696785258,
2021-10-21 00:00:00+08:00,SELL,264.70259225463866,7000,8995.917597773896,9740340.069737043,9751190.760253519,0.030481340325506055
2022-05-13 00:00:00+08:00,BUY,252.69291593933102,7000,3281.2175134722133,7968208.440648254,9740340.069737043,
2022-07-04 00:00:00+08:00,SELL,228.6757431793213,7000,7771.545131949235,9561167.097771553,9570540.975438293,-0.09504489934247302
2022-08-15 00:00:00+08:00,BUY,220.99052989196775,8000,3279.4994635968014,7789963.359172215,9561167.097771553,
2022-10-07 00:00:00+08:00,SELL,201.76957081604004,8000,7836.730130494995,9396283.19557004,9405735.698039401,-0.08697639254190649
2022-10-11 00:00:00+08:00,BUY,196.92225042724607,9000,3287.616970882873,7620695.324753943,9396283.19557004,
2022-11-09 00:00:00+08:00,SELL,213.56131036376954,9000,9331.561456344909,9533415.556571525,9544671.093796913,0.08449558087226335
2023-09-12 00:00:00+08:00,BUY,334.1794571838378,5000,3099.514465380096,7859418.756186956,9533415.556571525,
2023-10-23 00:00:00+08:00,SELL,306.44547555541993,5000,7438.9639191078195,9384207.170044947,9393179.89510297,-0.08299128217555563
2023-10-24 00:00:00+08:00,BUY,313.4943334960937,5000,2907.659943176269,7813827.842621302,9384207.170044947,
2023-11-14 00:00:00+08:00,SELL,363.3305806274414,5000,8819.84984473114,9621660.895913778,9632299.217133021,0.1589701688562377
2024-03-13 00:00:00+08:00,BUY,400.8314918518066,4000,2974.1696695404053,8015360.758837011,9621660.895913778,
2024-04-10 00:00:00+08:00,SELL,399.11309115600585,4000,7750.776230249634,9604062.347230785,9613411.173876073,-0.00428709003841466
2024-05-08 00:00:00+08:00,BUY,421.51658499145503,4000,3127.653060636596,7914868.354204328,9604062.347230785,
2024-05-10 00:00:00+08:00,SELL,431.68439959716795,4000,8383.311040177003,9633222.641552823,9643334.418657452,0.024121979935662653
2024-06-12 00:00:00+08:00,BUY,441.7420209350585,4000,3277.725795338134,7862976.83201725,9633222.641552823,
2024-08-06 00:00:00+08:00,SELL,413.9327903137207,4000,8038.574787892457,9510669.41848424,9520365.381821938,-0.06295355502397654
