date,type,price,shares,cost,cash,equity,return
2020-03-09 00:00:00+08:00,BUY,18.808164680480957,106000,3698.2494211229705,8002636.294447895,10000000.0,
2020-03-13 00:00:00+08:00,SELL,17.064169893264772,106000,8781.73375217085,9802656.56938179,9813248.915755268,-0.09272541031215532
2020-03-16 00:00:00+08:00,BUY,16.46643739891052,119000,3634.8837236225036,7839515.635187816,9802656.56938179,
2020-03-18 00:00:00+08:00,SELL,14.91260180568695,119000,8615.681130226607,9605499.568934336,9615891.62605543,-0.09436379925911469
2020-03-23 00:00:00+08:00,BUY,14.273391517639158,134000,3547.9369295395654,7689317.16864115,9605499.568934336,
2020-03-25 00:00:00+08:00,SELL,17.212554227828978,134000,11197.9714039987,9984601.463766234,9998108.22622782,0.20591901417105957
2020-08-20 00:00:00+08:00,BUY,24.25274604988098,82000,3689.0852016473955,7992187.202474346,9984601.463766234,
2020-09-10 00:00:00+08:00,SELL,23.342644655227662,82000,9292.940263692684,9896991.123939322,9908200.077077618,-0.03752570503898809
2020-09-14 00:00:00+08:00,BUY,23.624845216751098,83000,3637.399293797083,7932491.571655184,9896991.123939322,
2020-12-09 00:00:00+08:00,SELL,25.18342860031128,83000,10148.040305924436,10012568.105175097,10024808.462371737,0.06597221565943112
2021-05-04 00:00:00+08:00,BUY,24.44896601486206,81000,3673.5793885630983,8028528.278582707,10012568.105175097,
2021-05-17 00:00:00+08:00,SELL,21.854357820510863,81000,8594.335484705,9790136.926559381,9800503.237002507,-0.10612343249092755
2021-05-19 00:00:00+08:00,BUY,22.879208204269407,85000,3607.4791536081784,7841796.750042873,9790136.926559381,
2021-07-01 00:00:00+08:00,SELL,24.32178614616394,85000,10036.993097868206,9899111.57936894,9911217.993710477,0.0630519172261101
2021-08-02 00:00:00+08:00,BUY,23.306020469665526,84000,3631.5441095832825,7937774.315807452,9899111.57936894,
2021-10-13 00:00:00+08:00,SELL,24.1864617061615,84000,9863.722813006782,9959573.376312012,9971470.795604816,0.03777741625353545
2022-02-24 00:00:00+08:00,BUY,24.699315296173094,80000,3665.3783899520868,7979962.774228212,9959573.376312012,
2022-03-09 00:00:00+08:00,SELL,24.270735563278198,80000,9426.753692777253,9912194.865597691,9923565.221737977,-0.017351887198318407
2022-05-11 00:00:00+08:00,BUY,23.052692749023436,85000,3634.83332920227,7949081.148601497,9912194.865597691,
2022-06-01 00:00:00+08:00,SELL,24.102189754486083,85000,9946.371156932544,9987820.906575881,9999818.014598811,0.04552600500464775
2022-07-04 00:00:00+08:00,BUY,22.208272741317746,89000,3666.4747882278534,8007618.157810373,9987820.906575881,
2022-07-26 00:00:00+08:00,SELL,23.363638807296752,89000,10095.31151043889,10076886.700149346,10089063.456958933,0.05202412990135367
2023-08-14 00:00:00+08:00,BUY,105.37415927124022,19000,3713.9122435148615,8071063.761752267,10076886.700149346,
2023-08-17 00:00:00+08:00,SELL,121.66913314819335,19000,11223.369187255097,10371553.922380686,10385091.319125313,0.1546391827906192
2023-09-12 00:00:00+08:00,BUY,96.39608921813964,21000,3755.10965549263,8343480.939144261,10371553.922380686,
2023-10-18 00:00:00+08:00,SELL,85.8286057434082,21000,8750.655498569184,10137131.004257264,10147685.86468137,-0.10962564519415029
2023-11-01 00:00:00+08:00,BUY,84.58285040283202,23000,3608.7273124368285,8188116.717679691,10137131.004257264,
2023-11-20 00:00:00+08:00,SELL,94.03419808959961,23000,10500.32872967514,10340402.945010807,10353068.22524805,0.11174070915977476
2023-12-05 00:00:00+08:00,BUY,84.29933352661132,24000,3753.006328604736,8313465.934043531,10340402.945010807,
2024-01-19 00:00:00+08:00,SELL,100.91935011291504,24000,11759.12267515686,10723771.214078335,10737954.825645093,0.19715478036439246
2024-06-17 00:00:00+08:00,BUY,100.64886527252196,21000,3920.7765466910923,8606224.266808683,10723771.214078335,
2024-07-29 00:00:00+08:00,SELL,91.76960398864746,21000,9356.369974662552,10524029.580595616,10535315.041344816,-0.08822018270978577
2024-08-05 00:00:00+08:00,BUY,83.9195061416626,25000,3891.767097319603,8422150.15995673,10524029.580595616,
2024-08-12 00:00:00+08:00,SELL,99.01457192230225,25000,12017.893667069437,10885496.564347219,10899992.300154485,0.17987553162143285
2024-09-04 00:00:00+08:00,BUY,90.98539523315429,23000,3881.891887622528,8788950.582097048,10885496.564347219,
2024-09-25 00:00:00+08:00,SELL,100.94656743621826,23000,11272.198452765313,11099449.434677303,11113045.728276247,0.10948100162161192
2024-10-11 00:00:00+08:00,BUY,105.02038177490233,21000,4091.0689720413206,8889930.348432312,11099449.434677303,
2024-10-15 00:00:00+08:00,SELL,105.29354972076416,21000,10735.20386178051,11090359.688706579,11103308.270490417,0.0026010945803580216
2024-12-16 00:00:00+08:00,BUY,103.0845184020996,21000,4015.65741435379,8921569.144848133,11090359.688706579,
2024-12-24 00:00:00+08:00,SELL,103.84455308532715,21000,10587.47140981453,11091717.288230188,11104487.678173328,0.007372927525963633
2024-12-30 00:00:00+08:00,BUY,100.66469682312011,22000,4108.126277351532,8872985.831844194,11091717.288230188,
