date,type,price,shares,cost,cash,equity,return
2020-03-09 00:00:00+08:00,BUY,65.10782843017577,30000,3623.2506521392816,8043141.8964425875,10000000.0,
2020-03-12 00:00:00+08:00,SELL,57.33329916000366,30000,8350.595022654534,9754790.276220042,9764862.591938194,-0.1194100534087053
2020-03-16 00:00:00+08:00,BUY,51.529188434600826,37000,3536.705848208828,7844673.598291603,9754790.276220042,
2020-03-17 00:00:00+08:00,SELL,46.99592959213257,37000,8442.113812282734,9575080.879388224,9585263.5831854,-0.087974582565408
2020-03-18 00:00:00+08:00,BUY,43.69536222076415,43000,3485.3605675392528,7692694.943327826,9575080.879388224,
2020-03-19 00:00:00+08:00,SELL,39.26462444686889,43000,8197.079322650585,9372876.715220539,9382763.863463324,-0.10140064182348764
2020-03-23 00:00:00+08:00,BUY,38.47280632019042,48000,3425.618674749755,7522756.393176649,9372876.715220539,
2020-03-25 00:00:00+08:00,SELL,45.69290119171143,48000,10648.27369371643,9705367.376685081,9718211.105090711,0.18766748678096612
2020-08-07 00:00:00+08:00,BUY,49.07805505752563,39000,3550.5518931366914,7787772.677548445,9705367.376685081,
2020-08-20 00:00:00+08:00,SELL,43.81483728790283,39000,8296.120366277963,9488255.211410377,9498261.820920028,-0.10724177564603259
2020-08-24 00:00:00+08:00,BUY,45.50874300384521,41000,3461.1674491574477,7618935.580803566,9488255.211410377,
2020-10-07 00:00:00+08:00,SELL,53.07650903320312,41000,10565.144505604248,9784507.306659289,9797250.76635044,0.1662925743459555
2020-10-12 00:00:00+08:00,BUY,53.98586247253417,36000,3605.175895915832,7837411.081752143,9784507.306659289,
2020-10-15 00:00:00+08:00,SELL,54.768544704437254,36000,9572.446243441544,9799506.244868442,9811052.332362495,0.014497911046642595
2021-01-28 00:00:00+08:00,BUY,70.85087042236327,27000,3548.5658451040645,7882984.17761953,9799506.244868442,
2021-02-19 00:00:00+08:00,SELL,82.8207294845581,27000,10856.555324483299,10108287.318378115,10121382.271796776,0.16894441791383663
2021-04-29 00:00:00+08:00,BUY,81.73727237701415,24000,3638.94336622467,8142953.837963551,10108287.318378115,
2021-05-05 00:00:00+08:00,SELL,73.64811044311523,24000,8581.477828831787,9901927.010769485,9912277.812572926,-0.09896540095670878
