date,type,price,shares,cost,cash,equity,return
2020-03-12 00:00:00+08:00,BUY,540.0438378295897,3000,3005.343957521667,8376863.142553709,10000000.0,
2020-03-19 00:00:00+08:00,SELL,480.653295501709,3000,7000.715248982391,9811822.313809853,9820266.432348631,-0.10997355801071347
2020-09-11 00:00:00+08:00,BUY,566.3271138916015,3000,3151.6103888067623,8109689.361746242,9811822.313809853,
2020-10-20 00:00:00+08:00,SELL,633.7041015014648,3000,9229.900238368835,10001571.766012268,10012704.681570461,0.11897185558867615
2020-11-10 00:00:00+08:00,BUY,676.1602259521484,2000,2508.554438282471,8646742.75966969,10001571.766012268,
2020-11-12 00:00:00+08:00,SELL,608.8698297729492,2000,5912.1260470953375,9858570.293168493,9865701.377833752,-0.09951841826313121
2020-11-25 00:00:00+08:00,BUY,578.340091430664,3000,3218.4626088116447,8120331.556267689,9858570.293168493,
2021-01-18 00:00:00+08:00,SELL,675.6655770263671,3000,9841.069129389038,10137487.2182174,10149357.313103627,0.16828417576057209
2021-07-28 00:00:00+08:00,BUY,799.3298423461913,2000,2965.5137151043696,8535862.019809913,10137487.2182174,
2021-09-02 00:00:00+08:00,SELL,871.2197660522461,2000,8459.54392836731,10269842.007986037,10280045.735630225,0.08993774521797364
2021-10-15 00:00:00+08:00,BUY,692.870828552246,2000,2570.5507739288328,8881529.800107617,10269842.007986037,
2021-11-01 00:00:00+08:00,SELL,821.6382326660156,2000,7978.107239187011,10516828.158200461,10526451.186826367,0.18584619067139702
2022-02-08 00:00:00+08:00,BUY,873.8511275634764,2000,3241.9876832604978,8765883.915390247,10516828.158200461,
2022-02-24 00:00:00+08:00,SELL,865.0221124877929,2000,8399.364712256469,10487528.775653576,10497659.91636681,-0.010103568900003709
2022-03-08 00:00:00+08:00,BUY,795.781192260742,2000,2952.348223287353,8893014.042908804,10487528.775653576,
2022-05-03 00:00:00+08:00,SELL,916.3745172729492,2000,8897.996562720338,10716865.080891982,10727597.661072867,0.15154080818322999
2022-05-24 00:00:00+08:00,BUY,783.361008605957,2000,2906.2693419281004,9147236.79433814,10716865.080891982,
2022-05-26 00:00:00+08:00,SELL,700.3402794799805,2000,6800.304113750611,10541117.04918435,10549319.435939703,-0.10598016522895028
2022-06-21 00:00:00+08:00,BUY,696.7385840454101,3000,3877.350220212707,8447023.946827907,10541117.04918435,
2022-06-30 00:00:00+08:00,SELL,636.8679876708984,3000,9275.982240426636,10348351.927600175,10359540.426320095,-0.0859297844923278
2022-07-01 00:00:00+08:00,BUY,607.0140614624023,3000,3378.033252038269,8523931.70996093,10348351.927600175,
2022-08-24 00:00:00+08:00,SELL,719.1034189453125,3000,10473.741296938477,10670768.225499928,10683401.43652343,0.18465693729214017
2022-09-15 00:00:00+08:00,BUY,714.1341971435546,2000,2649.4378714025875,9239850.393341416,10670768.225499928,
2022-10-17 00:00:00+08:00,SELL,625.9032553710938,2000,6077.52060965332,10485579.383473951,10492909.963653916,-0.12354952630104159
2022-10-19 00:00:00+08:00,BUY,615.2540437011718,3000,3423.8887531970213,8636393.36361724,10485579.383473951,
2022-10-21 00:00:00+08:00,SELL,563.7697723388671,3000,8211.3067341156,10319491.373899724,10329395.682953177,-0.08367969603676509
2022-10-24 00:00:00+08:00,BUY,585.9563426513671,3000,3260.8470468548576,8558361.498898769,10319491.373899724,
2022-11-02 00:00:00+08:00,SELL,717.2759635620117,3000,10447.1244092807,10699742.265175523,10712343.371457363,0.22411161267824575
2022-12-22 00:00:00+08:00,BUY,759.912107055664,2000,2819.2739171765134,9177098.77714702,10699742.265175523,
2023-01-05 00:00:00+08:00,SELL,660.6249076538086,2000,6414.667853318482,10491933.924601318,10499671.164842332,-0.13065616204820196
2023-08-11 00:00:00+08:00,BUY,1506.3769423828123,1000,2794.3292281201166,8982762.652990386,10491933.924601318,
2023-09-12 00:00:00+08:00,SELL,1384.0523063964845,1000,6719.573947554932,10360095.385439316,10368200.39713101,-0.08120453290584273
2023-09-20 00:00:00+08:00,BUY,1305.5266345214843,1000,2421.7519070373537,9052146.999010794,10360095.385439316,
2023-10-02 00:00:00+08:00,SELL,1565.4108054199219,1000,7600.069460313722,10609957.734970402,10619124.782213919,0.19906462574292336
2024-07-23 00:00:00+08:00,BUY,2109.1346154785156,1000,3912.4447117126465,8496910.674780173,10609957.734970402,
2024-07-26 00:00:00+08:00,SELL,1915.768593017578,1000,9301.056519100342,10403378.21127865,10414596.954077048,-0.09168026594502936
2024-07-29 00:00:00+08:00,BUY,1846.7076557617186,1000,3425.642701437988,8553244.912815494,10403378.21127865,
2024-09-04 00:00:00+08:00,SELL,1624.7658197021485,1000,7888.238054653931,10170122.49446299,10179637.124729557,-0.12018244217871336
2024-09-06 00:00:00+08:00,BUY,1666.8966767578124,1000,3092.0933353857417,8500133.72436979,10170122.49446299,
2024-10-14 00:00:00+08:00,SELL,1930.3187255859375,1000,9371.697412719726,10421080.752543008,10432384.70093229,0.15803142000408363
2024-11-11 00:00:00+08:00,BUY,2026.5186347656247,1000,3759.192067490234,8390802.925709892,10421080.752543008,
2024-11-14 00:00:00+08:00,SELL,2192.2213557128907,1000,10643.234681986085,10572381.046740796,10585218.697194267,0.08176718343694393
